image_file,image_url,used_on_pages,source_referenced_in,status
/Users/Hannah/clawd/projects/phish-waterhabitat-fish-raja-2024-001.jpg,(workspace) phish-waterhabitat-fish-raja-2024-001.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/assets/images/phish-heroimage-whale.png,(assets) assets/images/phish-heroimage-whale.png,,content/homepage/hero.md; data/home.yaml,USED
/Users/Hannah/clawd/projects/phishbyhannah/assets/images/phish-heroimage-whale2.png,(assets) assets/images/phish-heroimage-whale2.png,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/assets/images/phish-waterhabitat-leopardshark-ningaloo-2025.006.jpg,(assets) assets/images/phish-waterhabitat-leopardshark-ningaloo-2025.006.jpg,,config/_default/params.toml; content/_index.md; content/who-is-phish/index.md,USED
/Users/Hannah/clawd/projects/phishbyhannah/assets/img/logo.jpg,(assets) assets/img/logo.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/assets/img/phishbyhannah_profile.jpg,(assets) assets/img/phishbyhannah_profile.jpg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/Phish-icon-about.png,/brand/Phish-icon-about.png,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/Phish-icon-field.png,/brand/Phish-icon-field.png,/; /about/; /categories/; /categories/updates/; /contact/; /copyright/; /en/; /en/about/; /field/; /posts/; /posts/2026-01-26-hello-ocean/; /posts/2026-02-10-ocean-update/; /project/; /services/; /services/brands/; /services/resorts/; /services/social-media/; /services/the-breakwater/; /services/the-current/; /services/the-surge/; /services/the-swell/; /tags/; /tags/placeholder/; /tags/temporary/; /who-is-phish/; /works/,layouts/partials/nav.html,USED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/Phish-icon-works.png,/brand/Phish-icon-works.png,/; /about/; /categories/; /categories/updates/; /contact/; /copyright/; /en/; /en/about/; /field/; /posts/; /posts/2026-01-26-hello-ocean/; /posts/2026-02-10-ocean-update/; /project/; /services/; /services/brands/; /services/resorts/; /services/social-media/; /services/the-breakwater/; /services/the-current/; /services/the-surge/; /services/the-swell/; /tags/; /tags/placeholder/; /tags/temporary/; /who-is-phish/; /works/,layouts/partials/nav.html,USED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-icon-Field-001.png,/brand/phish-icon-Field-001.png,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-icon-whoisphish.png,/brand/phish-icon-whoisphish.png,/; /about/; /categories/; /categories/updates/; /contact/; /copyright/; /en/; /en/about/; /field/; /posts/; /posts/2026-01-26-hello-ocean/; /posts/2026-02-10-ocean-update/; /project/; /services/; /services/brands/; /services/resorts/; /services/social-media/; /services/the-breakwater/; /services/the-current/; /services/the-surge/; /services/the-swell/; /tags/; /tags/placeholder/; /tags/temporary/; /who-is-phish/; /works/,layouts/partials/nav.html,USED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-logo-darkblue.svg,/brand/phish-logo-darkblue.svg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-logo-whitetp.png,/brand/phish-logo-whitetp.png,/; /about/; /categories/; /categories/updates/; /contact/; /copyright/; /en/; /en/about/; /field/; /posts/; /posts/2026-01-26-hello-ocean/; /posts/2026-02-10-ocean-update/; /project/; /services/; /services/brands/; /services/resorts/; /services/social-media/; /services/the-breakwater/; /services/the-current/; /services/the-surge/; /services/the-swell/; /tags/; /tags/placeholder/; /tags/temporary/; /who-is-phish/; /works/,layouts/partials/footer.html; layouts/partials/nav.html,USED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-symbol-darkblue.svg,/brand/phish-symbol-darkblue.svg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-wordmark-light.svg,/brand/phish-wordmark-light.svg,,data/home.yaml,USED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-wordmark-offwhite.svg,/brand/phish-wordmark-offwhite.svg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/brand/phish-wordmark-white.svg,/brand/phish-wordmark-white.svg,,,UNUSED
/Users/Hannah/clawd/projects/phishbyhannah/static/images/Phish-manifesto-bg.png,/images/Phish-manifesto-bg.png,,data/home.yaml,USED
